Timestamp,Score,Apakah anda menggunakan AI?,Usia,Jenis Kelamin,Program Studi / Jurusan,Semester Saat Ini,Durasi Penggunaan Laptop/HP untuk Belajar (per hari) ,Seberapa sering Anda menggunakan AI tools dalam kegiatan belajar? ,Saya menggunakan AI tools untuk membantu memahami materi kuliah. ,AI tools membantu saya menyelesaikan tugas lebih cepat. ,AI tools membuat saya lebih mudah menemukan penjelasan konsep. ,Saya menggunakan AI tools secara rutin saat belajar mandiri. ,AI tools membantu saya merangkum materi kuliah. ,Saya menggunakan AI tools untuk mendapatkan ide saat mengerjakan tugas. ,AI tools membuat proses belajar saya terasa lebih efisien. ,Saya merasa lebih percaya diri belajar dengan bantuan AI tools. ,AI tools membantu saya memperbaiki kesalahan dalam tugas atau laporan. ,Saya merasa kualitas hasil belajar saya meningkat dengan bantuan AI Tools. ,Saya mampu memahami materi kuliah dengan baik. ,Saya dapat menyelesaikan tugas tepat waktu.  ,Saya mampu fokus saat belajar. ,Metode belajar saya terasa semakin efektif. ,Produktivitas belajar saya meningkat. ,Saya dapat meninjau materi dengan lebih terstruktur. ,Saya mampu mengatur waktu belajar dengan baik. ,Saya mampu mengingat materi pembelajaran dengan lebih baik. ,Saya dapat menyelesaikan lebih banyak materi dalam waktu yang sama. ,Saya merasa hasil belajar saya meningkat secara keseluruhan. 
01/12/2025 14:41:36,,Ya,18 - 20 Tahun,Perempuan,tekdus,Semester 3-4,> 6 jam,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
01/12/2025 14:58:02,,Ya,21 - 25 Tahun,Perempuan,IE,10,4–6 jam,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4
01/12/2025 15:12:17,,Ya,18 - 20 Tahun,Perempuan,IT,Semester 3-4,> 6 jam,5,4,5,4,5,5,5,5,5,5,5,4,5,3,5,5,5,5,5,5,4
01/12/2025 15:14:57,,Ya,18 - 20 Tahun,Perempuan,BA,Semester 7,4–6 jam,4,5,5,5,4,4,5,4,4,4,5,5,5,5,4,4,4,4,5,5,4
01/12/2025 15:16:08,,Ya,18 - 20 Tahun,Laki - Laki,AC,Semester 7,> 6 jam,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,4,4,5
01/12/2025 15:21:02,,Ya,21 - 25 Tahun,Laki - Laki,Law,Semester 7,2–4 jam,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5
01/12/2025 15:23:05,,Ya,21 - 25 Tahun,Perempuan,sma,lulusan sma,> 6 jam,2,4,4,4,4,4,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5
01/12/2025 15:23:32,,Ya,18 - 20 Tahun,Perempuan,law,Semester 3-4,4–6 jam,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4,4,4,4
01/12/2025 15:24:49,,Ya,18 - 20 Tahun,Laki - Laki,IE,Semester 5-6,4–6 jam,5,2,3,3,2,3,4,4,3,3,2,3,2,4,3,4,4,4,4,3,3
01/12/2025 15:26:46,,Ya,21 - 25 Tahun,Perempuan,Administrasi bisnis ,Semester 7,2–4 jam,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
01/12/2025 15:27:23,,Ya,18 - 20 Tahun,Laki - Laki,teknik sipil,Semester 5-6,2–4 jam,4,5,5,4,4,3,4,3,3,3,4,3,4,4,4,3,3,4,4,4,3
01/12/2025 15:27:52,,Ya,18 - 20 Tahun,Laki - Laki,Industri,graduate,4–6 jam,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
01/12/2025 15:28:31,,Ya,21 - 25 Tahun,Laki - Laki,IT,Semester 3-4,2–4 jam,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
01/12/2025 15:28:36,,Ya,18 - 20 Tahun,Perempuan,Teknik Industri,Semester 7,2–4 jam,5,5,5,5,5,5,5,5,3,3,3,3,5,3,3,3,5,5,3,4,4
01/12/2025 15:34:28,,Ya,> 25 Tahun,Laki - Laki,Fisioterapi,Semester 7,4–6 jam,5,5,5,5,5,5,5,5,5,5,5,5,4,2,4,4,4,5,3,3,4
01/12/2025 15:35:37,,Ya,18 - 20 Tahun,Perempuan,teknik industri,Semester 7,> 6 jam,5,5,5,5,4,4,4,4,5,4,4,5,4,4,5,4,5,5,4,4,5
01/12/2025 15:37:05,,Ya,21 - 25 Tahun,Perempuan,Teknik Sipil,Semester 7,2–4 jam,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,3,3,4,3
01/12/2025 15:37:28,,Ya,21 - 25 Tahun,Laki - Laki,hukum,Semester 5-6,4–6 jam,5,5,5,4,4,5,5,4,4,5,4,4,4,4,5,5,5,5,5,5,4
01/12/2025 15:39:34,,Ya,18 - 20 Tahun,Perempuan,akuntansi,Semester 5-6,> 6 jam,5,5,4,4,3,4,3,4,5,4,4,4,4,4,5,5,4,4,4,4,4
01/12/2025 15:39:47,,Ya,21 - 25 Tahun,Perempuan,Fisioterapi,Semester 7,2–4 jam,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
01/12/2025 15:46:06,,Ya,18 - 20 Tahun,Laki - Laki,Teknik Sipil,Semester 1-2,2–4 jam,5,5,5,5,5,5,5,3,3,4,3,5,4,3,5,3,3,3,4,4,4
01/12/2025 15:48:28,,Ya,21 - 25 Tahun,Perempuan,teknik industri,Semester 7,> 6 jam,5,5,4,5,5,4,5,4,5,4,4,4,5,5,5,5,4,4,5,4,4
01/12/2025 15:51:36,,Ya,21 - 25 Tahun,Laki - Laki,Teknik Industri,Semester 7,4–6 jam,5,5,4,5,4,5,5,5,5,5,5,5,5,4,4,4,5,4,4,4,4
01/12/2025 15:53:36,,Ya,21 - 25 Tahun,Laki - Laki,Teknik Industri,Semester 3-4,< 2 jam,3,4,2,5,4,5,5,4,2,4,4,4,4,2,4,4,4,3,4,2,4
01/12/2025 15:54:01,,Ya,21 - 25 Tahun,Laki - Laki,IT,Semester 3-4,4–6 jam,4,4,4,5,4,3,5,5,4,4,4,4,4,3,3,4,4,4,4,4,4
01/12/2025 15:54:32,,Ya,21 - 25 Tahun,Laki - Laki,Teknik industri,Semester 7,2–4 jam,5,5,5,5,5,5,5,4,3,4,3,4,4,3,5,3,3,3,3,3,3
01/12/2025 15:55:36,,Ya,21 - 25 Tahun,Perempuan,Teknik mesin,Semester 1-2,> 6 jam,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
01/12/2025 15:57:37,,Ya,18 - 20 Tahun,Laki - Laki,teknik industri ,Semester 5-6,> 6 jam,3,4,4,4,3,4,4,3,3,4,3,4,3,3,3,3,4,3,3,3,3
01/12/2025 15:57:59,,Ya,18 - 20 Tahun,Laki - Laki,sistem informasi,Semester 7,4–6 jam,5,5,5,4,4,4,4,4,4,4,4,3,3,4,3,3,4,4,4,4,4
01/12/2025 15:59:04,,Ya,21 - 25 Tahun,Perempuan,IT,Semester 7,4–6 jam,5,3,3,3,3,3,3,3,3,3,3,5,4,4,4,5,5,4,4,4,4
01/12/2025 16:06:12,,Ya,18 - 20 Tahun,Laki - Laki,teknik elektro,Semester 7,4–6 jam,5,5,5,5,5,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4
